"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3820","Should user drag box A to box B","chromium","Wed Jul 09 08:55:33 WIB 2025","passed","Wed Jul 09 08:55:37 WIB 2025","","drag-drop-dropdown.spec.ts","",""
"","4575","Should user see ad modal on page open","Mobile Chrome","Wed Jul 09 08:55:55 WIB 2025","passed","Wed Jul 09 08:56:00 WIB 2025","","close-modal-and-floating-menu-presence.spec.ts","",""
"","3777","Should be able to move the slider to 2.5","chromium","Wed Jul 09 08:55:42 WIB 2025","passed","Wed Jul 09 08:55:46 WIB 2025","","hover-and-slider.spec.ts","",""
"","6308","Should handle js prompt type correctly","Microsoft Edge","Wed Jul 09 08:56:49 WIB 2025","passed","Wed Jul 09 08:56:55 WIB 2025","","handle-alert.spec.ts","",""
"","5476","Should handle js confirm type correctly","Microsoft Edge","Wed Jul 09 08:56:47 WIB 2025","passed","Wed Jul 09 08:56:53 WIB 2025","","handle-alert.spec.ts","",""
"","3686","Should user see floating menu upon page scroll","Mobile Chrome","Wed Jul 09 08:55:59 WIB 2025","passed","Wed Jul 09 08:56:02 WIB 2025","","close-modal-and-floating-menu-presence.spec.ts","",""
"","9462","Should user check single checkbox","Microsoft Edge","Wed Jul 09 08:56:26 WIB 2025","passed","Wed Jul 09 08:56:35 WIB 2025","","check-and-uncheck.spec.ts","",""
"","4417","Should handle js confirm type correctly","chromium","Wed Jul 09 08:55:37 WIB 2025","passed","Wed Jul 09 08:55:41 WIB 2025","","handle-alert.spec.ts","",""
"","4635","Should reveal third name and profile link upon image hover","chromium","Wed Jul 09 08:55:41 WIB 2025","passed","Wed Jul 09 08:55:46 WIB 2025","","hover-and-slider.spec.ts","",""
"","5266","Should reveal second name and profile link upon image hover","Microsoft Edge","Wed Jul 09 08:56:53 WIB 2025","passed","Wed Jul 09 08:56:58 WIB 2025","","hover-and-slider.spec.ts","",""
"","25167","Should user add and delete multiple items","chromium","Wed Jul 09 08:55:16 WIB 2025","passed","Wed Jul 09 08:55:42 WIB 2025","","add-and-remove-element.spec.ts","",""
"","5744","Should user able to download file","Microsoft Edge","Wed Jul 09 08:56:58 WIB 2025","passed","Wed Jul 09 08:57:04 WIB 2025","","upload-download-file.spec.ts","",""
"","3758","Should display alert after right-click on context menu box","Mobile Chrome","Wed Jul 09 08:56:00 WIB 2025","passed","Wed Jul 09 08:56:03 WIB 2025","","context-menu.spec.ts","",""
"","4579","Should reveal first name and profile link upon image hover","chromium","Wed Jul 09 08:55:38 WIB 2025","passed","Wed Jul 09 08:55:42 WIB 2025","","hover-and-slider.spec.ts","",""
"","3664","Should handle js alert type correctly","chromium","Wed Jul 09 08:55:34 WIB 2025","passed","Wed Jul 09 08:55:38 WIB 2025","","handle-alert.spec.ts","",""
"","4827","Should user add and delete single item","Mobile Chrome","Wed Jul 09 08:55:50 WIB 2025","passed","Wed Jul 09 08:55:55 WIB 2025","","add-and-remove-element.spec.ts","",""
"","5654","Should reveal third name and profile link upon image hover","Microsoft Edge","Wed Jul 09 08:56:53 WIB 2025","passed","Wed Jul 09 08:56:59 WIB 2025","","hover-and-slider.spec.ts","",""
"","4363","Should handle js prompt type correctly","chromium","Wed Jul 09 08:55:37 WIB 2025","passed","Wed Jul 09 08:55:41 WIB 2025","","handle-alert.spec.ts","",""
"","4621","Should user check multiple checkboxes","Mobile Chrome","Wed Jul 09 08:55:56 WIB 2025","passed","Wed Jul 09 08:56:00 WIB 2025","","check-and-uncheck.spec.ts","",""
"","3788","Should user see floating menu upon page scroll","chromium","Wed Jul 09 08:55:29 WIB 2025","passed","Wed Jul 09 08:55:33 WIB 2025","","close-modal-and-floating-menu-presence.spec.ts","",""
"","10179","Should user add and delete single item","chromium","Wed Jul 09 08:55:16 WIB 2025","passed","Wed Jul 09 08:55:27 WIB 2025","","add-and-remove-element.spec.ts","",""
"","5209","Should user select option 1 and 2 from the dropdown","Microsoft Edge","Wed Jul 09 08:56:44 WIB 2025","passed","Wed Jul 09 08:56:49 WIB 2025","","drag-drop-dropdown.spec.ts","",""
"","6651","Should user add and delete single item","Microsoft Edge","Wed Jul 09 08:56:24 WIB 2025","passed","Wed Jul 09 08:56:31 WIB 2025","","add-and-remove-element.spec.ts","",""
